"","iteration time","p_Z","gamma","heterogeneity","n_0","n_1","inter_ratio","inter_strength","alpha_modifier","eta_modifier","method","beta_hat","p_power","p_cover"
"134",3,3,0,1,6000,6000,1,1,0,1,"Egger",0.635769632219072,0,2.7104670508038e-07
"135",3,3,0,1,6000,6000,1,1,0,1,"Weighted median",0.586562010109699,0,0
"136",3,3,0,1,6000,6000,1,1,0,1,"Weighted mode",0.583616341920579,0,0
"137",3,3,0,1,6000,6000,1,1,0,1,"MR-RAPS",0.588485917372512,0,0
"138",3,3,0,1,6000,6000,1,1,0,1,"Contamination Mixture",0.593449685381995,0,0
"139",3,3,0,1,6000,6000,1,1,0,1,"MR-Robust",0.588977094720182,0,0
"140",3,3,0,1,6000,6000,1,1,0,1,"MR-Lasso",0.589214072758837,0,0
"141",3,3,0,1,6000,6000,1,1,0,1,"Trans-OR",0.976821764084896,NA,NA
"142",3,3,0,1,6000,6000,1,1,0,1,"Trans-IPW",0.975684812892642,NA,NA
"143",3,3,0,1,6000,6000,1,1,0,1,"Trans-AIPW",0.975684812892642,NA,NA
"144",4,3,0,1,6000,6000,1,1,0,1,"IVW",0.583454646385052,0,0
"145",4,3,0,1,6000,6000,1,1,0,1,"Egger",0.752475713742839,8.64714611026329e-09,0.0583317138109054
"146",4,3,0,1,6000,6000,1,1,0,1,"Weighted median",0.590713949688204,0,0
"147",4,3,0,1,6000,6000,1,1,0,1,"Weighted mode",0.598355574582959,0,0
"148",4,3,0,1,6000,6000,1,1,0,1,"MR-RAPS",0.588726758784772,0,0
"149",4,3,0,1,6000,6000,1,1,0,1,"Contamination Mixture",0.586459760029193,0,8.66035909652396e-10
"150",4,3,0,1,6000,6000,1,1,0,1,"MR-Robust",0.583836396442747,0,0
"151",4,3,0,1,6000,6000,1,1,0,1,"MR-Lasso",0.583454646385052,0,0
"152",4,3,0,1,6000,6000,1,1,0,1,"Trans-OR",1.0369428673332,NA,NA
"153",4,3,0,1,6000,6000,1,1,0,1,"Trans-IPW",1.02167487895368,NA,NA
"154",4,3,0,1,6000,6000,1,1,0,1,"Trans-AIPW",1.02167487895368,NA,NA
"155",5,3,0,1,6000,6000,1,1,0,1,"IVW",0.59601152984328,0,0
"156",5,3,0,1,6000,6000,1,1,0,1,"Egger",0.565115200678278,8.10145284191321e-11,5.7009246545725e-07
"157",5,3,0,1,6000,6000,1,1,0,1,"Weighted median",0.59848301331786,0,0
"158",5,3,0,1,6000,6000,1,1,0,1,"Weighted mode",0.580500866371782,0,0
"159",5,3,0,1,6000,6000,1,1,0,1,"MR-RAPS",0.595446103224771,0,0
"160",5,3,0,1,6000,6000,1,1,0,1,"Contamination Mixture",0.597354571279958,0,0
"161",5,3,0,1,6000,6000,1,1,0,1,"MR-Robust",0.596107588443203,0,0
"162",5,3,0,1,6000,6000,1,1,0,1,"MR-Lasso",0.59601152984328,0,0
"163",5,3,0,1,6000,6000,1,1,0,1,"Trans-OR",1.02426208150352,NA,NA
"164",5,3,0,1,6000,6000,1,1,0,1,"Trans-IPW",1.02305565345038,NA,NA
"165",5,3,0,1,6000,6000,1,1,0,1,"Trans-AIPW",1.02305565345038,NA,NA
"166",1,3,0,1,8000,8000,1,1,0,1,"IVW",0.588793611096176,0,0
"167",1,3,0,1,8000,8000,1,1,0,1,"Egger",0.516453007812689,4.44089209850063e-16,2.59792187762287e-14
"168",1,3,0,1,8000,8000,1,1,0,1,"Weighted median",0.589440551898644,0,0
"169",1,3,0,1,8000,8000,1,1,0,1,"Weighted mode",0.591800745801509,0,0
"170",1,3,0,1,8000,8000,1,1,0,1,"MR-RAPS",0.589994693840345,0,0
"171",1,3,0,1,8000,8000,1,1,0,1,"Contamination Mixture",0.585228660775131,0,0
"172",1,3,0,1,8000,8000,1,1,0,1,"MR-Robust",0.589002350026352,0,0
"173",1,3,0,1,8000,8000,1,1,0,1,"MR-Lasso",0.588793611096176,0,0
"174",1,3,0,1,8000,8000,1,1,0,1,"Trans-OR",0.985017199348911,NA,NA
"175",1,3,0,1,8000,8000,1,1,0,1,"Trans-IPW",0.98143236481617,NA,NA
"176",1,3,0,1,8000,8000,1,1,0,1,"Trans-AIPW",0.98143236481617,NA,NA
"177",2,3,0,1,8000,8000,1,1,0,1,"IVW",0.568962163222439,0,0
"178",2,3,0,1,8000,8000,1,1,0,1,"Egger",0.543869230969565,0,1.31006316905768e-14
"179",2,3,0,1,8000,8000,1,1,0,1,"Weighted median",0.572905906287314,0,0
