"","max iteration times","p_Z","gamma","heterogeneity","n_0","n_1","inter_ratio","inter_strength","alpha_modifier","eta_modifier","method","index","num"
"98",5,3,0,1,6000,6000,1,1,0,1,"Trans-IPW","MSE",0.00116111178034328
"99",5,3,0,1,6000,6000,1,1,0,1,"Trans-AIPW","MSE",0.00116111178034326
"100",5,3,0,1,8000,8000,1,1,0,1,"IVW","Bias",-0.427718147638457
"101",5,3,0,1,8000,8000,1,1,0,1,"Egger","Bias",-0.431289972710632
"102",5,3,0,1,8000,8000,1,1,0,1,"Weighted median","Bias",-0.42677537796108
"103",5,3,0,1,8000,8000,1,1,0,1,"Weighted mode","Bias",-0.422499308497695
"104",5,3,0,1,8000,8000,1,1,0,1,"MR-RAPS","Bias",-0.42697366336015
"105",5,3,0,1,8000,8000,1,1,0,1,"Contamination Mixture","Bias",-0.43010505493111
"106",5,3,0,1,8000,8000,1,1,0,1,"MR-Robust","Bias",-0.426933548416192
"107",5,3,0,1,8000,8000,1,1,0,1,"MR-Lasso","Bias",-0.427718147638457
"108",5,3,0,1,8000,8000,1,1,0,1,"Trans-OR","Bias",-0.017964928734607
"109",5,3,0,1,8000,8000,1,1,0,1,"Trans-IPW","Bias",-0.0228503331584336
"110",5,3,0,1,8000,8000,1,1,0,1,"Trans-AIPW","Bias",-0.0228503331584336
"111",5,3,0,1,8000,8000,1,1,0,1,"IVW","SD",0.0190292850528109
"112",5,3,0,1,8000,8000,1,1,0,1,"Egger","SD",0.0488057225803994
"113",5,3,0,1,8000,8000,1,1,0,1,"Weighted median","SD",0.0172330297850974
"114",5,3,0,1,8000,8000,1,1,0,1,"Weighted mode","SD",0.0113354614424122
"115",5,3,0,1,8000,8000,1,1,0,1,"MR-RAPS","SD",0.018445089023057
"116",5,3,0,1,8000,8000,1,1,0,1,"Contamination Mixture","SD",0.0172206936294075
"117",5,3,0,1,8000,8000,1,1,0,1,"MR-Robust","SD",0.0189575244620153
"118",5,3,0,1,8000,8000,1,1,0,1,"MR-Lasso","SD",0.0190292850528109
"119",5,3,0,1,8000,8000,1,1,0,1,"Trans-OR","SD",0.0108159147074056
"120",5,3,0,1,8000,8000,1,1,0,1,"Trans-IPW","SD",0.0114155351734257
"121",5,3,0,1,8000,8000,1,1,0,1,"Trans-AIPW","SD",0.0114155351734256
"122",5,3,0,1,8000,8000,1,1,0,1,"IVW","MSE",0.183304927508894
"123",5,3,0,1,8000,8000,1,1,0,1,"Egger","MSE",0.188393039117332
"124",5,3,0,1,8000,8000,1,1,0,1,"Weighted median","MSE",0.182434200549397
"125",5,3,0,1,8000,8000,1,1,0,1,"Weighted mode","MSE",0.178634158367143
"126",5,3,0,1,8000,8000,1,1,0,1,"MR-RAPS","MSE",0.182646730512255
"127",5,3,0,1,8000,8000,1,1,0,1,"Contamination Mixture","MSE",0.185286910566371
"128",5,3,0,1,8000,8000,1,1,0,1,"MR-Robust","MSE",0.182631642496969
"129",5,3,0,1,8000,8000,1,1,0,1,"MR-Lasso","MSE",0.183304927508894
"130",5,3,0,1,8000,8000,1,1,0,1,"Trans-OR","MSE",0.000439722675397381
"131",5,3,0,1,8000,8000,1,1,0,1,"Trans-IPW","MSE",0.000652452168747127
"132",5,3,0,1,8000,8000,1,1,0,1,"Trans-AIPW","MSE",0.000652452168747127
"133",5,3,0,1,10000,10000,1,1,0,1,"IVW","Bias",-0.419699508712604
"134",5,3,0,1,10000,10000,1,1,0,1,"Egger","Bias",-0.365767951037626
"135",5,3,0,1,10000,10000,1,1,0,1,"Weighted median","Bias",-0.419264639070392
"136",5,3,0,1,10000,10000,1,1,0,1,"Weighted mode","Bias",-0.419142231523422
"137",5,3,0,1,10000,10000,1,1,0,1,"MR-RAPS","Bias",-0.419769812356523
"138",5,3,0,1,10000,10000,1,1,0,1,"Contamination Mixture","Bias",-0.418652305071263
"139",5,3,0,1,10000,10000,1,1,0,1,"MR-Robust","Bias",-0.419673071649953
"140",5,3,0,1,10000,10000,1,1,0,1,"MR-Lasso","Bias",-0.419699508712604
"141",5,3,0,1,10000,10000,1,1,0,1,"Trans-OR","Bias",0.00136171418198345
"142",5,3,0,1,10000,10000,1,1,0,1,"Trans-IPW","Bias",-0.00448789144684658
"143",5,3,0,1,10000,10000,1,1,0,1,"Trans-AIPW","Bias",-0.00448789144684676
"144",5,3,0,1,10000,10000,1,1,0,1,"IVW","SD",0.0210044067201252
"145",5,3,0,1,10000,10000,1,1,0,1,"Egger","SD",0.090312583308723
"146",5,3,0,1,10000,10000,1,1,0,1,"Weighted median","SD",0.0251392052022838
"147",5,3,0,1,10000,10000,1,1,0,1,"Weighted mode","SD",0.0270153300493195
"148",5,3,0,1,10000,10000,1,1,0,1,"MR-RAPS","SD",0.0210714347061197
"149",5,3,0,1,10000,10000,1,1,0,1,"Contamination Mixture","SD",0.0223183905281964
"150",5,3,0,1,10000,10000,1,1,0,1,"MR-Robust","SD",0.0213556183828964
"151",5,3,0,1,10000,10000,1,1,0,1,"MR-Lasso","SD",0.0210044067201253
"152",5,3,0,1,10000,10000,1,1,0,1,"Trans-OR","SD",0.0314253706627857
"153",5,3,0,1,10000,10000,1,1,0,1,"Trans-IPW","SD",0.0256478694680444
"154",5,3,0,1,10000,10000,1,1,0,1,"Trans-AIPW","SD",0.0256478694680443
"155",5,3,0,1,10000,10000,1,1,0,1,"IVW","MSE",0.176588862715265
"156",5,3,0,1,10000,10000,1,1,0,1,"Egger","MSE",0.141942556710158
"157",5,3,0,1,10000,10000,1,1,0,1,"Weighted median","MSE",0.176414817213028
"158",5,3,0,1,10000,10000,1,1,0,1,"Weighted mode","MSE",0.176410038304108
"159",5,3,0,1,10000,10000,1,1,0,1,"MR-RAPS","MSE",0.176650700726405
"160",5,3,0,1,10000,10000,1,1,0,1,"Contamination Mixture","MSE",0.175767863097251
"161",5,3,0,1,10000,10000,1,1,0,1,"MR-Robust","MSE",0.176581549504623
"162",5,3,0,1,10000,10000,1,1,0,1,"MR-Lasso","MSE",0.176588862715265
"163",5,3,0,1,10000,10000,1,1,0,1,"Trans-OR","MSE",0.000989408186806888
"164",5,3,0,1,10000,10000,1,1,0,1,"Trans-IPW","MSE",0.000677954377888521
"165",5,3,0,1,10000,10000,1,1,0,1,"Trans-AIPW","MSE",0.000677954377888518
"166",5,3,0,0,12000,12000,1,1,0,1,"IVW","Bias",0.00855269458273611
"167",5,3,0,0,12000,12000,1,1,0,1,"Egger","Bias",0.0329884409898936
"168",5,3,0,0,12000,12000,1,1,0,1,"Weighted median","Bias",0.00395075372496889
"169",5,3,0,0,12000,12000,1,1,0,1,"Weighted mode","Bias",0.00621240126565434
"170",5,3,0,0,12000,12000,1,1,0,1,"MR-RAPS","Bias",0.00738425844970854
"171",5,3,0,0,12000,12000,1,1,0,1,"Contamination Mixture","Bias",0.00800340488381168
"172",5,3,0,0,12000,12000,1,1,0,1,"MR-Robust","Bias",0.00820870761168699
"173",5,3,0,0,12000,12000,1,1,0,1,"MR-Lasso","Bias",0.00855269458273602
"174",5,3,0,0,12000,12000,1,1,0,1,"Trans-OR","Bias",0.00784994732310793
"175",5,3,0,0,12000,12000,1,1,0,1,"Trans-IPW","Bias",0.00489761749056636
"176",5,3,0,0,12000,12000,1,1,0,1,"Trans-AIPW","Bias",0.00489761749056634
"177",5,3,0,0,12000,12000,1,1,0,1,"IVW","SD",0.0206395427329048
"178",5,3,0,0,12000,12000,1,1,0,1,"Egger","SD",0.0843814196557345
"179",5,3,0,0,12000,12000,1,1,0,1,"Weighted median","SD",0.0196041535140548
"180",5,3,0,0,12000,12000,1,1,0,1,"Weighted mode","SD",0.0197388606106645
"181",5,3,0,0,12000,12000,1,1,0,1,"MR-RAPS","SD",0.0201363845352808
"182",5,3,0,0,12000,12000,1,1,0,1,"Contamination Mixture","SD",0.0226102827079112
"183",5,3,0,0,12000,12000,1,1,0,1,"MR-Robust","SD",0.0204713059494102
"184",5,3,0,0,12000,12000,1,1,0,1,"MR-Lasso","SD",0.0206395427329048
"185",5,3,0,0,12000,12000,1,1,0,1,"Trans-OR","SD",0.0172146631066175
"186",5,3,0,0,12000,12000,1,1,0,1,"Trans-IPW","SD",0.0177344417888671
"187",5,3,0,0,12000,12000,1,1,0,1,"Trans-AIPW","SD",0.0177344417888671
"188",5,3,0,0,12000,12000,1,1,0,1,"IVW","MSE",0.000499139308848966
"189",5,3,0,0,12000,12000,1,1,0,1,"Egger","MSE",0.00820846122206086
"190",5,3,0,0,12000,12000,1,1,0,1,"Weighted median","MSE",0.000399931289997985
"191",5,3,0,0,12000,12000,1,1,0,1,"Weighted mode","MSE",0.000428216547692747
"192",5,3,0,0,12000,12000,1,1,0,1,"MR-RAPS","MSE",0.000460001255004788
"193",5,3,0,0,12000,12000,1,1,0,1,"Contamination Mixture","MSE",0.00057527937386589
"194",5,3,0,0,12000,12000,1,1,0,1,"MR-Robust","MSE",0.000486457247928526
"195",5,3,0,0,12000,12000,1,1,0,1,"MR-Lasso","MSE",0.000499139308848967
"196",5,3,0,0,12000,12000,1,1,0,1,"Trans-OR","MSE",0.000357966298849908
"197",5,3,0,0,12000,12000,1,1,0,1,"Trans-IPW","MSE",0.000338497082646619
"198",5,3,0,0,12000,12000,1,1,0,1,"Trans-AIPW","MSE",0.000338497082646617
"199",5,3,0,0.2,12000,12000,1,1,0,1,"IVW","Bias",-0.0789692792860627
"200",5,3,0,0.2,12000,12000,1,1,0,1,"Egger","Bias",-0.0373879989368901
"201",5,3,0,0.2,12000,12000,1,1,0,1,"Weighted median","Bias",-0.0836074521272558
"202",5,3,0,0.2,12000,12000,1,1,0,1,"Weighted mode","Bias",-0.0817012708785014
"203",5,3,0,0.2,12000,12000,1,1,0,1,"MR-RAPS","Bias",-0.0806201980761064
"204",5,3,0,0.2,12000,12000,1,1,0,1,"Contamination Mixture","Bias",-0.0792469324518697
"205",5,3,0,0.2,12000,12000,1,1,0,1,"MR-Robust","Bias",-0.0798536079218221
"206",5,3,0,0.2,12000,12000,1,1,0,1,"MR-Lasso","Bias",-0.0789692792860627
"207",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-OR","Bias",0.0086843919530734
"208",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-IPW","Bias",0.00508603344195726
"209",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-AIPW","Bias",0.00508603344195677
"210",5,3,0,0.2,12000,12000,1,1,0,1,"IVW","SD",0.0189480364640691
"211",5,3,0,0.2,12000,12000,1,1,0,1,"Egger","SD",0.0722019782082497
"212",5,3,0,0.2,12000,12000,1,1,0,1,"Weighted median","SD",0.0174494342381832
"213",5,3,0,0.2,12000,12000,1,1,0,1,"Weighted mode","SD",0.0160922216840865
"214",5,3,0,0.2,12000,12000,1,1,0,1,"MR-RAPS","SD",0.0185322865914068
"215",5,3,0,0.2,12000,12000,1,1,0,1,"Contamination Mixture","SD",0.0168540950681251
"216",5,3,0,0.2,12000,12000,1,1,0,1,"MR-Robust","SD",0.0189572591412516
"217",5,3,0,0.2,12000,12000,1,1,0,1,"MR-Lasso","SD",0.0189480364640691
"218",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-OR","SD",0.017875228248405
"219",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-IPW","SD",0.0202695092258366
"220",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-AIPW","SD",0.0202695092258372
"221",5,3,0,0.2,12000,12000,1,1,0,1,"IVW","MSE",0.00659517515680386
"222",5,3,0,0.2,12000,12000,1,1,0,1,"Egger","MSE",0.00661098812168946
"223",5,3,0,0.2,12000,12000,1,1,0,1,"Weighted median","MSE",0.00729468880644405
"224",5,3,0,0.2,12000,12000,1,1,0,1,"Weighted mode","MSE",0.00693405726189205
"225",5,3,0,0.2,12000,12000,1,1,0,1,"MR-RAPS","MSE",0.00684306198413667
"226",5,3,0,0.2,12000,12000,1,1,0,1,"Contamination Mixture","MSE",0.0065641368235966
"227",5,3,0,0.2,12000,12000,1,1,0,1,"MR-Robust","MSE",0.00673597637228065
"228",5,3,0,0.2,12000,12000,1,1,0,1,"MR-Lasso","MSE",0.00659517515680386
"229",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-OR","MSE",0.000394942448527184
"230",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-IPW","MSE",0.000436720740428984
"231",5,3,0,0.2,12000,12000,1,1,0,1,"Trans-AIPW","MSE",0.000436720740429004
"232",5,3,0,0.4,12000,12000,1,1,0,1,"IVW","Bias",-0.165958049902057
"233",5,3,0,0.4,12000,12000,1,1,0,1,"Egger","Bias",-0.132535546422912
"234",5,3,0,0.4,12000,12000,1,1,0,1,"Weighted median","Bias",-0.169149594621365
"235",5,3,0,0.4,12000,12000,1,1,0,1,"Weighted mode","Bias",-0.168002915895607
"236",5,3,0,0.4,12000,12000,1,1,0,1,"MR-RAPS","Bias",-0.166987911972962
"237",5,3,0,0.4,12000,12000,1,1,0,1,"Contamination Mixture","Bias",-0.16632624461681
"238",5,3,0,0.4,12000,12000,1,1,0,1,"MR-Robust","Bias",-0.166482163566669
"239",5,3,0,0.4,12000,12000,1,1,0,1,"MR-Lasso","Bias",-0.170490776642447
"240",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-OR","Bias",0.00724802665976336
"241",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-IPW","Bias",0.00297567077046399
"242",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-AIPW","Bias",0.00297567077046406
"243",5,3,0,0.4,12000,12000,1,1,0,1,"IVW","SD",0.016727087635517
"244",5,3,0,0.4,12000,12000,1,1,0,1,"Egger","SD",0.0804527004522692
"245",5,3,0,0.4,12000,12000,1,1,0,1,"Weighted median","SD",0.0165648547160555
"246",5,3,0,0.4,12000,12000,1,1,0,1,"Weighted mode","SD",0.0175970847710746
"247",5,3,0,0.4,12000,12000,1,1,0,1,"MR-RAPS","SD",0.016776279764593
"248",5,3,0,0.4,12000,12000,1,1,0,1,"Contamination Mixture","SD",0.0156442784541015
"249",5,3,0,0.4,12000,12000,1,1,0,1,"MR-Robust","SD",0.0166809758361882
"250",5,3,0,0.4,12000,12000,1,1,0,1,"MR-Lasso","SD",0.0208460254824418
"251",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-OR","SD",0.0168876733571587
"252",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-IPW","SD",0.0196453614918317
"253",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-AIPW","SD",0.0196453614918316
"254",5,3,0,0.4,12000,12000,1,1,0,1,"IVW","MSE",0.0278218697880598
"255",5,3,0,0.4,12000,12000,1,1,0,1,"Egger","MSE",0.0240383080756823
"256",5,3,0,0.4,12000,12000,1,1,0,1,"Weighted median","MSE",0.0288859797723362
"257",5,3,0,0.4,12000,12000,1,1,0,1,"Weighted mode","MSE",0.0285346371418666
"258",5,3,0,0.4,12000,12000,1,1,0,1,"MR-RAPS","MSE",0.0281664063078296
"259",5,3,0,0.4,12000,12000,1,1,0,1,"Contamination Mixture","MSE",0.0279091630966804
"260",5,3,0,0.4,12000,12000,1,1,0,1,"MR-Robust","MSE",0.0279945657406866
"261",5,3,0,0.4,12000,12000,1,1,0,1,"MR-Lasso","MSE",0.0295016616985594
"262",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-OR","MSE",0.00033772740187873
"263",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-IPW","MSE",0.000394794844678936
"264",5,3,0,0.4,12000,12000,1,1,0,1,"Trans-AIPW","MSE",0.000394794844678933
"265",5,3,0,0.6,12000,12000,1,1,0,1,"IVW","Bias",-0.242914321663292
"266",5,3,0,0.6,12000,12000,1,1,0,1,"Egger","Bias",-0.16664035384357
"267",5,3,0,0.6,12000,12000,1,1,0,1,"Weighted median","Bias",-0.240979325863823
"268",5,3,0,0.6,12000,12000,1,1,0,1,"Weighted mode","Bias",-0.240409299632221
"269",5,3,0,0.6,12000,12000,1,1,0,1,"MR-RAPS","Bias",-0.242476002883988
"270",5,3,0,0.6,12000,12000,1,1,0,1,"Contamination Mixture","Bias",-0.244271048536717
"271",5,3,0,0.6,12000,12000,1,1,0,1,"MR-Robust","Bias",-0.242727915903234
"272",5,3,0,0.6,12000,12000,1,1,0,1,"MR-Lasso","Bias",-0.242914321663292
"273",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-OR","Bias",0.00631606396836679
"274",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-IPW","Bias",0.00139020390946236
"275",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-AIPW","Bias",0.00139020390946227
"276",5,3,0,0.6,12000,12000,1,1,0,1,"IVW","SD",0.01072691001375
"277",5,3,0,0.6,12000,12000,1,1,0,1,"Egger","SD",0.0616697988934721
"278",5,3,0,0.6,12000,12000,1,1,0,1,"Weighted median","SD",0.00949253143794176
"279",5,3,0,0.6,12000,12000,1,1,0,1,"Weighted mode","SD",0.0101561517283465
"280",5,3,0,0.6,12000,12000,1,1,0,1,"MR-RAPS","SD",0.0103715813183452
"281",5,3,0,0.6,12000,12000,1,1,0,1,"Contamination Mixture","SD",0.0104688581793324
"282",5,3,0,0.6,12000,12000,1,1,0,1,"MR-Robust","SD",0.0105441498632981
"283",5,3,0,0.6,12000,12000,1,1,0,1,"MR-Lasso","SD",0.01072691001375
"284",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-OR","SD",0.00445717630838103
"285",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-IPW","SD",0.00850653365983461
"286",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-AIPW","SD",0.00850653365983444
"287",5,3,0,0.6,12000,12000,1,1,0,1,"IVW","MSE",0.0591224342675802
"288",5,3,0,0.6,12000,12000,1,1,0,1,"Egger","MSE",0.0315721716246715
"289",5,3,0,0.6,12000,12000,1,1,0,1,"Weighted median","MSE",0.0581611436468828
"290",5,3,0,0.6,12000,12000,1,1,0,1,"Weighted mode","MSE",0.0578997787675844
"291",5,3,0,0.6,12000,12000,1,1,0,1,"MR-RAPS","MSE",0.0589021816736388
"292",5,3,0,0.6,12000,12000,1,1,0,1,"Contamination Mixture","MSE",0.0597779421448061
"293",5,3,0,0.6,12000,12000,1,1,0,1,"MR-Robust","MSE",0.0590280202550671
"294",5,3,0,0.6,12000,12000,1,1,0,1,"MR-Lasso","MSE",0.0591224342675802
"295",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-OR","MSE",5.97590846964944e-05
"296",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-IPW","MSE",7.42937818157836e-05
"297",5,3,0,0.6,12000,12000,1,1,0,1,"Trans-AIPW","MSE",7.42937818157805e-05
"298",5,3,0,0.8,12000,12000,1,1,0,1,"IVW","Bias",-0.327460283545828
